edicion,fecha,mes,anio,asistencia
1,13/05/2007,Mayo,2007,12000
2,20/05/2007,Mayo,2007,10000
3,03/06/2007,Junio,2007,12000
4,10/06/2007,Junio,2007,7000
5,17/06/2007,Junio,2007,7000
NA,01/07/2007,Julio,2007,NaN
6,08/07/2007,Julio,2007,7000
7,15/07/2007,Julio,2007,4500
8,22/07/2007,Julio,2007,9000
9,05/08/2007,Agosto,2007,5000
10,12/08/2007,Agosto,2007,5000
11,19/08/2007,Agosto,2007,5000
12,02/09/2007,Septiembre,2007,6000
13,09/09/2007,Septiembre,2007,5000
14,23/09/2007,Septiembre,2007,5500
15,07/10/2007,Octubre,2007,7000
16,14/10/2007,Octubre,2007,5000
17,21/10/2007,Octubre,2007,6000
18,04/11/2007,Noviembre,2007,4800
19,11/11/2007,Noviembre,2007,12000
20,18/11/2007,Noviembre,2007,6800
21,02/12/2007,Diciembre,2007,3500
22,09/12/2007,Diciembre,2007,4200
23,16/12/2007,Diciembre,2007,4200
24,23/12/2007,Diciembre,2007,4800
NA,06/01/2008,Enero,2008,NaN
25,13/01/2008,Enero,2008,8000
26,20/01/2008,Enero,2008,6250
27,03/02/2008,Febrero,2008,5600
28,10/02/2008,Febrero,2008,8500
29,17/02/2008,Febrero,2008,7000
30,02/03/2008,Marzo,2008,6500
31,09/03/2008,Marzo,2008,8600
32,16/03/2008,Marzo,2008,7600
33,23/03/2008,Marzo,2008,5800
34,06/04/2008,Abril,2008,7500
35,13/04/2008,Abril,2008,6500
36,20/04/2008,Abril,2008,7000
37,11/05/2008,Mayo,2008,7000
38,18/05/2008,Mayo,2008,8200
39,01/06/2008,Junio,2008,10000
40,08/06/2008,Junio,2008,5600
41,15/06/2008,Junio,2008,7300
42,22/06/2008,Junio,2008,9000
43,06/07/2008,Julio,2008,10500
44,13/07/2008,Julio,2008,11000
45,20/07/2008,Julio,2008,10200
46,03/08/2008,Agosto,2008,10200
47,10/08/2008,Agosto,2008,10800
NA,17/08/2008,Agosto,2008,NaN
48,24/08/2008,Agosto,2008,11300
49,07/09/2008,Septiembre,2008,13000
50,14/09/2008,Septiembre,2008,9800
51,21/09/2008,Septiembre,2008,8700
52,05/10/2008,Octubre,2008,12000
53,12/10/2008,Octubre,2008,13000
54,19/10/2008,Octubre,2008,9500
55,02/11/2008,Noviembre,2008,10800
56,09/11/2008,Noviembre,2008,13500
57,16/11/2008,Noviembre,2008,9000
58,23/11/2008,Noviembre,2008,12000
59,07/12/2008,Diciembre,2008,7500
60,14/12/2008,Diciembre,2008,8000
61,21/12/2008,Diciembre,2008,7000
62,04/01/2009,Enero,2009,10300
63,11/01/2009,Enero,2009,12800
64,18/01/2009,Enero,2009,11500
65,01/02/2009,Febrero,2009,12500
66,08/02/2009,Febrero,2009,15000
NA,15/02/2009,Febrero,2009,NaN
67,01/03/2009,Marzo,2009,14500
68,08/03/2009,Marzo,2009,13000
69,15/03/2009,Marzo,2009,10000
70,22/03/2009,Marzo,2009,15000
71,05/04/2009,Abril,2009,13500
72,12/04/2009,Abril,2009,12900
73,19/04/2009,Abril,2009,19000
NA,03/05/2009,Mayo,2009,NaN
74,10/05/2009,Mayo,2009,3500
75,17/05/2009,Mayo,2009,10200
76,24/05/2009,Mayo,2009,11500
